Nombre del apartamento;URL;Precio;Area;Habitaciones;Baños;CONTACTO
Apartamento en Arriendo, Tierra Buen…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cr-prados-del-tintal-2-habitaciones-1-banos/639-M4754228;$800.000;42 m²;2;1;Contactar
Apartamento en Arriendo, Villa Del Mar…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-del-mar-2-habitaciones-1-banos/164-M4588789;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Florida Blan…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-florida-blanca-2-habitaciones-1-banos/5027-M3658870;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Bosa, Bogot…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-gran-britalia-2-habitaciones-1-banos/11813-M4695580;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, VILLA MAG…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-magdala-2-habitaciones-2-banos-1-garajes/4058-M3361350;$800.000;60 m²;2;2;Contactar
Apartamento en Arriendo, barrancas, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-barrancas-norte-2-habitaciones-1-banos/4058-M3407875;$800.000;65 m²;2;1;Contactar
Apartamento en Arriendo, EL REDIL, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-redil-2-habitaciones-1-banos-1-garajes/4058-M3351809;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, BOCHICA IV,…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub-bochica-iii-iv-2-habitaciones-1-banos/4058-M3856774;$800.000;65 m²;2;1;Contactar
Apartamento en Arriendo, El Tintal, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub-tintala-2-habitaciones-1-banos/164-M4537155;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Puente Aran…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ospina-perez-2-habitaciones-1-banos/164-M4727203;$800.000;34 m²;2;1;Contactar
Apartamento en Arriendo, Los Naranjo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-condor-2-habitaciones-1-banos/164-M4593352;$800.000;40 m²;2;1;Contactar
Apartamento en Arriendo, Villa Elisa, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-elisa-2-habitaciones-2-banos/164-M3493186;$800.000;51.2 m²;2;2;Contactar
Apartamento en Arriendo, Ciudad Boli…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-ensueao-2-habitaciones-2-banos/11813-M4705266;$800.000;48 m²;2;2;Contactar
Apartamento en Arriendo, El Libertado…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosa-2-habitaciones-1-banos-1-garajes/73-M4566236;$800.000;35 m²;2;1;Contactar
Apartamento en Arriendo, Bosa, Bogot…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-corzo-2-habitaciones-1-banos/10119-M4729705;$800.000;45 m²;2;1;Contactar
Apartamento en Arriendo, Villa Gladys, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-palmar-2-habitaciones-1-banos/164-M4533574;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, El Tintal, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-2-habitaciones-1-banos/164-M4611843;$800.000;47 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-vervenal-2-habitaciones-1-banos/4058-M3101750;$800.000;80 m²;2;1;Contactar
Apartamento en Arriendo, Ingles Quiro…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M4602369;$800.000;60 m²;2;1;Contactar
Apartamento en Arriendo, BARRIO ING…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-soledad-2-habitaciones-1-banos/4058-M4326283;$800.000;60 m²;2;1;Contactar
Apartamento en Arriendo, altavista el …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-cruces-2-habitaciones-1-banos/4933-M4708208;$800.000;29 m²;2;1;Contactar
Apartamento en Arriendo, SUBA LAS F…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-puerta-del-sol-2-habitaciones-1-banos/688-M4641724;$800.000;48 m²;2;1;Contactar
Apartamento en Arriendo, Rincon De S…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-palmas-2-habitaciones-1-banos/164-M4548333;$820.000;60 m²;2;1;Contactar
Apartamento en Arriendo, SUBA SAN …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-urbanizacion-sabana-de-tibabuyes-2-habitaciones-1-banos-1-garajes/MC2675749;$820.000;45 m²;2;1;Contactar
Apartamento en Arriendo, La Esperanz…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-centro-engativa-2-habitaciones-1-banos/164-M4547806;$820.000;56 m²;2;1;Contactar
Apartamento en Arriendo, Suba Comp…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-tuna-baja-2-habitaciones-1-banos/661-M4631337;$826.000;34.68 m²;2;1;Contactar
Apartamento en Arriendo, Conjunto Se…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-pantanos-2-habitaciones-2-banos/MC4641009;$830.000;51.43 m²;2;2;Contactar
Apartamento en Arriendo, Fontibon, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-porvenir-2-habitaciones-2-banos/342-M4623492;$832.000;38 m²;2;2;Contactar
Apartamento en Arriendo, Suba, Bogot…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-de-santa-ines-2-habitaciones-1-banos/991-M4723157;$838.000;50 m²;2;1;Contactar
